23.06 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897060599'],FireStorm,['team_id=10056']
,51:02,Edmunds Bambergs - 2:4 (genius pass Alberts Timanovskis)
penalty player - Karel Bažant4 on 5,51:33,
,55:51,Francis Taukulis - 2:5 (perfect pass Juris Norītis)
penalty player - Ondřej Král4 on 5,56:31,
15.07 - 21:00,Friendly,Coyotes,['team_id=27652'],2:9,['match_id=897248359'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
,05:05,Folmer Toft - 0:1 (perfect pass Leroy Sizemore)
penalty player - Aleš Havel4 on 5,13:55,
,14:07,"Folmer Toft - 0:2 PPrebound(excellent pass Joshua Adams, Ilya Tonkonogov)"
,16:53,"Cyrille Boulanger - 0:3 (Joshua Adams, Vasile Halip)"
penalty player - Martin Stehlík4 on 5,17:05,
,17:51,penalty player - Folmer Toft4 on 4
" - 1:3 PP(genius pass Jakub Dostál, Antonín Sivák)",19:08,
,19:17,Folmer Toft - 1:4 (unassisted)
Goalie has temporarily lost his confidence in himself,19:17,
,20:00,Tactical points offense 5 defense 5
